timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539545139.092,36.621,430.664,-177.734,46.387,42.969,0
1539545139.096,40.039,219.727,-382.812,42.480,-19.043,0
1539545139.100,34.180,238.770,-360.352,46.387,0.977,0
1539545139.104,28.809,450.195,-123.535,38.574,81.055,0
1539545139.107,34.668,367.188,-180.664,37.598,45.410,0
1539545139.111,37.109,97.168,-449.707,43.457,-32.227,0
1539545139.115,35.156,59.082,-470.703,41.504,16.602,0
1539545139.119,34.180,195.312,-326.172,48.828,70.801,0
1539545139.123,34.668,275.391,-237.305,56.641,58.105,0
1539545139.127,31.250,135.254,-369.141,51.270,-0.977,0
1539545139.131,23.438,210.449,-315.430,51.758,-0.488,0
1539545139.135,29.785,415.039,-94.238,62.012,64.941,0
1539545139.139,39.551,304.688,-160.156,56.152,62.988,0
1539545139.143,43.457,-147.461,-602.539,45.410,-29.297,0
1539545139.146,33.203,-11.719,-531.250,35.156,-30.273,0
1539545139.150,27.832,372.559,-153.320,35.156,40.527,0
1539545139.154,31.250,306.152,-154.785,47.852,75.684,0
1539545139.158,38.574,70.312,-363.770,48.340,28.320,0
1539545139.162,34.668,19.043,-437.988,52.246,-20.996,0
1539545139.166,23.438,289.551,-167.969,47.363,33.691,0
1539545139.170,24.414,248.047,-144.043,47.852,76.172,0
1539545139.174,29.785,-126.953,-476.074,55.176,32.227,0
1539545139.178,31.738,-34.668,-445.801,39.062,-26.367,0
1539545139.182,28.320,282.227,-138.672,20.996,17.090,0
1539545139.186,23.438,285.156,-90.820,27.344,74.219,0
1539545139.189,26.855,213.379,-160.156,32.227,52.734,0
1539545139.193,26.367,214.355,-179.688,31.738,0.488,0
1539545139.197,13.672,230.957,-155.273,25.391,15.625,0
1539545139.201,10.742,295.410,-48.828,35.645,96.680,0
1539545139.205,24.414,195.312,-113.281,58.105,120.605,0
1539545139.209,22.461,94.238,-239.258,41.016,50.293,0
1539545139.213,16.113,227.051,-126.465,27.832,25.879,0
1539545139.217,23.926,26.367,-270.020,41.504,57.617,0
1539545139.221,21.973,31.738,-280.762,31.738,71.289,0
1539545139.225,19.531,331.543,-32.715,23.438,45.410,0
1539545139.229,29.297,193.848,-166.504,37.109,-4.883,0
1539545139.232,27.344,119.629,-241.211,29.297,37.109,0
1539545139.236,17.578,317.871,-79.102,30.762,93.262,0
1539545139.240,21.484,413.086,-5.859,37.109,76.172,0
1539545139.244,27.832,191.895,-239.258,27.344,6.836,0
1539545139.248,23.438,182.129,-261.230,24.902,18.555,0
1539545139.252,26.367,209.961,-216.309,32.715,69.824,0
1539545139.256,31.250,131.836,-318.359,43.945,51.270,0
1539545139.260,30.273,33.203,-441.406,55.176,0.977,0
1539545139.264,27.832,-107.422,-593.262,52.734,-20.996,0
1539545139.268,24.902,235.840,-299.316,45.898,38.574,0
1539545139.271,15.625,457.031,-65.430,44.434,83.984,0
1539545139.275,14.160,213.867,-303.711,26.367,9.766,0
1539545139.279,16.113,107.422,-449.219,17.578,-50.781,0
1539545139.283,14.160,401.855,-148.926,23.926,49.805,0
1539545139.287,17.090,521.973,21.484,31.738,128.906,0
1539545139.291,31.250,232.910,-256.836,42.969,40.039,0
1539545139.295,37.109,131.348,-398.926,54.688,-31.738,0
1539545139.299,17.578,181.641,-340.820,51.270,16.602,0
1539545139.303,6.836,218.750,-294.922,39.551,59.570,0
1539545139.307,11.230,40.039,-464.844,33.203,33.691,0
1539545139.311,16.602,-34.668,-590.820,32.227,-28.809,0
1539545139.314,16.602,384.277,-219.727,30.762,7.324,0
1539545139.318,15.137,377.441,-166.504,18.555,45.898,0
1539545139.322,16.113,240.234,-273.926,25.879,27.832,0
1539545139.326,17.578,311.523,-227.539,42.480,-4.883,0
1539545139.330,10.742,369.141,-168.457,33.203,-10.254,0
1539545139.334,8.789,328.613,-165.527,39.551,26.855,0
1539545139.338,11.719,369.629,-92.285,38.574,66.406,0
1539545139.342,19.043,393.555,-62.012,41.016,23.926,0
1539545139.346,28.320,188.477,-259.277,51.270,-34.180,0
1539545139.350,32.227,19.043,-406.250,42.480,-12.695,0
1539545139.354,30.273,25.879,-402.832,45.898,25.879,0
1539545139.357,25.879,347.168,-134.277,50.781,41.504,0
1539545139.361,32.715,449.707,-39.551,50.781,7.812,0
1539545139.365,32.715,286.133,-187.012,52.734,-2.930,0
1539545139.369,25.879,312.012,-167.969,56.152,30.762,0
1539545139.373,24.414,410.156,-85.449,48.828,23.438,0
1539545139.377,32.715,298.828,-215.820,43.457,-41.992,0
1539545139.381,35.645,264.648,-257.812,44.434,-19.043,0
1539545139.385,32.715,400.879,-122.559,43.457,60.059,0
1539545139.389,27.344,447.754,-83.984,43.457,59.570,0
1539545139.393,26.855,197.266,-351.562,54.199,-14.648,0
1539545139.396,33.691,-133.301,-686.523,56.152,-48.828,0
1539545139.400,28.320,91.797,-499.023,42.480,14.648,0
1539545139.404,19.531,449.707,-160.645,36.133,65.918,0
1539545139.408,26.367,250.488,-333.496,49.316,13.672,0
1539545139.412,33.203,184.082,-431.152,61.523,-31.250,0
1539545139.416,31.738,380.371,-256.348,51.758,7.324,0
1539545139.420,27.832,538.574,-79.102,51.758,73.242,0
1539545139.424,28.809,393.555,-198.242,54.688,53.223,0
1539545139.428,34.668,199.219,-414.551,60.547,-27.344,0
1539545139.432,32.227,325.195,-313.965,58.105,-11.230,0
1539545139.436,27.344,431.152,-186.523,47.363,39.062,0
1539545139.439,30.273,158.691,-410.156,65.918,29.785,0
1539545139.443,30.273,-63.965,-648.926,65.430,-11.719,0
1539545139.447,25.879,304.199,-335.449,33.691,19.531,0
1539545139.451,31.738,494.629,-114.746,30.273,60.059,0
1539545139.455,34.180,335.938,-237.793,42.480,53.223,0
1539545139.459,33.203,265.625,-323.730,43.945,8.301,0
1539545139.463,29.297,228.027,-377.930,50.293,-30.762,0
1539545139.467,29.297,252.441,-337.891,50.781,22.949,0
1539545139.471,30.273,367.188,-217.773,36.133,73.242,0
1539545139.475,23.438,319.336,-279.785,41.016,23.438,0
1539545139.479,22.461,326.660,-293.945,44.922,-11.719,0
1539545139.482,30.273,409.180,-197.266,41.504,32.227,0
1539545139.486,35.645,307.129,-260.742,57.617,68.848,0
1539545139.490,36.133,183.594,-383.301,59.570,51.270,0
1539545139.494,27.832,306.152,-299.316,45.898,17.578,0
1539545139.498,25.879,425.293,-154.297,45.898,36.621,0
1539545139.502,27.832,88.379,-428.223,32.227,35.156,0
1539545139.506,21.484,93.750,-458.984,21.973,23.926,0
1539545139.510,19.043,396.973,-199.219,41.504,0.977,0
1539545139.514,25.879,261.719,-306.641,48.828,-25.391,0
1539545139.518,29.297,342.773,-206.055,48.340,55.176,0
1539545139.521,26.855,406.738,-128.906,58.594,81.055,0
1539545139.525,28.320,259.766,-286.621,54.688,11.719,0
1539545139.529,29.297,282.715,-284.668,52.246,4.395,0
1539545139.533,29.785,194.824,-354.004,49.316,17.090,0
1539545139.537,26.855,142.578,-415.527,43.457,24.414,0
1539545139.541,21.973,357.422,-232.910,39.551,41.504,0
1539545139.545,33.691,187.012,-388.184,51.758,-14.160,0
1539545139.549,29.297,-40.039,-619.141,58.105,-28.320,0
1539545139.553,13.184,417.969,-198.242,42.969,77.637,0
1539545139.557,16.602,531.738,-58.105,53.223,80.566,0
1539545139.561,20.996,237.793,-361.328,57.617,-17.090,0
1539545139.564,20.020,296.875,-323.730,36.621,8.789,0
1539545139.568,18.555,504.883,-96.191,33.203,84.473,0
1539545139.572,20.508,417.969,-166.016,33.691,62.988,0
1539545139.576,18.555,246.582,-352.051,28.809,4.883,0
1539545139.580,17.578,125.977,-490.234,36.133,-14.648,0
1539545139.584,19.531,172.363,-438.965,46.875,43.457,0
1539545139.588,20.996,226.074,-381.836,34.180,69.336,0
1539545139.592,21.484,-102.539,-710.449,27.832,-20.020,0
1539545139.596,13.184,-35.156,-691.895,35.645,-43.945,0
1539545139.600,8.301,478.516,-195.801,38.574,54.199,0
1539545139.604,12.207,469.727,-133.301,42.480,96.680,0
1539545139.607,19.043,272.461,-312.500,52.246,41.016,0
1539545139.611,22.461,249.512,-385.254,46.875,-37.598,0
1539545139.615,22.949,385.742,-247.070,34.180,9.766,0
1539545139.619,27.832,375.488,-216.309,31.738,75.684,0
1539545139.623,25.391,307.129,-278.809,25.391,58.594,0
1539545139.627,21.484,178.711,-418.945,33.691,14.648,0
1539545139.631,14.160,200.684,-423.340,33.203,11.719,0
1539545139.635,20.508,256.348,-341.309,28.320,65.430,0
1539545139.639,28.320,71.777,-499.023,40.527,70.312,0
1539545139.643,20.996,271.484,-356.934,46.875,28.320,0
1539545139.646,27.344,379.883,-251.953,52.734,-2.930,0
1539545139.650,25.879,331.055,-257.812,64.941,43.457,0
1539545139.654,23.926,441.895,-119.629,53.711,116.699,0
1539545139.658,29.297,458.008,-102.051,26.855,70.312,0
1539545139.662,29.785,299.805,-265.625,34.180,-8.789,0
1539545139.666,28.809,265.625,-290.039,42.480,18.066,0
1539545139.670,27.344,375.488,-171.387,41.992,76.660,0
1539545139.674,34.180,249.512,-286.133,44.434,55.664,1
1539545139.678,29.297,113.770,-450.684,34.180,-16.113,0
1539545139.682,19.531,-15.625,-576.660,32.227,-23.438,0
1539545139.686,18.555,118.164,-447.754,24.414,47.363,0
1539545139.689,20.996,497.070,-89.355,30.762,77.148,0
1539545139.693,24.902,271.484,-296.875,41.016,-5.371,0
1539545139.697,22.461,178.711,-396.973,34.668,-1.465,0
1539545139.701,19.043,419.922,-166.504,33.691,67.871,0
1539545139.705,17.090,509.277,-61.035,40.039,85.938,0
1539545139.709,24.902,302.734,-253.906,50.781,31.250,0
1539545139.713,24.414,212.891,-360.352,39.551,0.488,0
1539545139.717,16.602,397.949,-167.969,31.738,50.293,0
1539545139.721,17.090,352.539,-179.199,38.574,78.125,0
1539545139.725,26.855,67.871,-452.637,45.898,26.855,0
1539545139.729,28.320,-100.098,-655.273,46.875,-28.320,0
1539545139.732,18.555,299.805,-298.340,42.969,39.062,0
1539545139.736,20.020,542.969,-28.320,44.922,89.844,0
1539545139.740,24.902,344.727,-202.148,42.969,55.664,0
1539545139.744,29.785,254.395,-314.453,30.762,15.625,0
1539545139.748,33.691,422.363,-165.039,29.297,33.203,0
1539545139.752,31.250,395.508,-156.250,37.109,77.637,0
1539545139.756,28.320,205.078,-342.285,36.133,52.734,0
1539545139.760,23.438,240.234,-354.492,35.156,-3.418,0
1539545139.764,26.367,337.402,-263.672,34.180,-6.836,0
1539545139.768,27.344,308.594,-256.836,36.133,55.664,0
1539545139.771,26.855,10.254,-521.484,42.969,59.082,0
1539545139.775,31.250,15.137,-563.965,34.668,7.324,0
1539545139.779,23.926,388.672,-242.188,30.273,14.648,0
1539545139.783,26.367,442.383,-133.301,32.227,66.895,0
1539545139.787,35.645,362.305,-171.387,40.039,90.332,0
1539545139.791,30.273,382.812,-169.922,55.664,54.688,0
1539545139.795,23.926,367.676,-195.801,57.129,8.301,0
1539545139.799,30.762,266.113,-275.879,43.457,2.441,0
1539545139.803,32.227,227.051,-292.480,45.898,55.176,0
1539545139.807,21.484,375.977,-145.508,38.086,83.496,0
1539545139.811,22.461,299.316,-235.352,25.391,9.766,0
1539545139.814,29.297,-22.461,-543.457,27.344,-26.855,0
1539545139.818,28.320,17.090,-511.230,33.203,33.203,0
1539545139.822,24.414,374.512,-186.035,33.691,79.102,0
1539545139.826,21.484,362.793,-200.684,35.645,12.695,0
1539545139.830,28.809,89.355,-463.867,66.406,-39.551,0
1539545139.834,33.203,97.168,-452.637,83.496,4.395,0
1539545139.838,33.203,302.734,-262.695,42.480,29.297,0
1539545139.842,28.809,269.043,-293.945,27.832,1.953,0
1539545139.846,24.414,150.391,-425.293,35.645,-21.973,0
1539545139.850,28.320,291.016,-285.156,39.062,52.734,0
1539545139.854,31.250,437.500,-114.258,54.688,104.004,0
1539545139.857,35.645,351.074,-188.965,62.500,62.012,0
1539545139.861,36.621,145.996,-393.555,54.688,17.090,0
1539545139.865,25.879,77.637,-465.820,47.363,28.809,0
1539545139.869,14.160,186.035,-363.281,41.992,56.641,0
1539545139.873,17.578,266.113,-286.133,29.297,41.504,0
1539545139.877,29.297,-84.473,-619.629,41.992,-35.645,0
1539545139.881,26.855,-39.062,-614.258,42.480,-27.344,0
1539545139.885,22.949,405.762,-191.406,18.555,54.199,0
1539545139.889,24.414,296.875,-254.883,20.020,50.293,0
1539545139.893,31.250,170.410,-387.207,34.180,6.348,0
1539545139.896,26.367,284.180,-309.570,39.551,-9.277,0
1539545139.900,22.461,442.383,-128.906,39.062,59.082,0
1539545139.904,32.227,382.324,-144.531,31.738,85.449,0
1539545139.908,29.785,146.973,-375.488,21.973,31.250,0
1539545139.912,30.273,74.219,-482.910,33.203,-5.371,0
1539545139.916,26.367,338.867,-240.723,32.227,35.645,0
1539545139.920,26.367,300.293,-226.562,38.574,73.242,0
1539545139.924,34.180,-60.059,-575.684,40.527,-0.488,0
1539545139.928,25.391,28.809,-565.918,29.297,-52.734,0
1539545139.932,22.949,300.293,-309.570,19.043,-1.465,0
1539545139.936,26.367,373.535,-203.125,16.602,55.664,0
1539545139.939,46.387,376.465,-187.500,43.457,68.359,0
1539545139.943,65.918,377.930,-192.871,71.289,19.531,0
1539545139.947,41.504,291.992,-272.949,48.828,-18.066,0
1539545139.951,7.812,293.945,-237.305,4.395,39.062,0
1539545139.955,-7.812,218.750,-274.414,-9.277,66.406,0
1539545139.959,-16.113,111.816,-387.207,-16.602,19.531,0
1539545139.963,-18.555,227.539,-297.363,-21.484,3.906,0
1539545139.967,-10.742,88.867,-399.414,-20.508,37.598,0
1539545139.971,-20.996,117.188,-392.090,-26.855,67.383,0
1539545139.975,-16.113,418.945,-134.277,-28.809,53.223,0
1539545139.979,8.301,250.000,-289.551,-29.297,-5.371,0
1539545139.982,10.742,89.844,-434.082,-22.461,9.277,0
1539545139.986,6.836,271.484,-258.301,-8.301,91.309,0
1539545139.990,3.906,448.242,-87.891,5.859,104.004,0
1539545139.994,1.953,217.773,-312.500,16.113,12.695,0
1539545139.998,6.348,187.012,-346.191,3.906,18.066,0
1539545140.002,5.859,251.465,-262.207,-6.348,80.078,0
1539545140.006,-3.418,207.520,-304.199,4.883,84.473,0
1539545140.010,3.906,-5.859,-539.551,18.066,2.930,0
1539545140.014,10.254,-184.082,-760.254,26.855,-60.059,0
1539545140.018,-0.977,256.836,-365.723,25.391,26.367,0
1539545140.021,-0.488,530.273,-56.152,20.996,100.586,0
1539545140.025,17.578,322.266,-233.398,28.320,43.945,0
1539545140.029,22.949,211.426,-364.258,17.090,-13.184,0
1539545140.033,15.137,411.621,-159.180,9.277,51.758,0
1539545140.037,15.625,454.590,-78.613,22.461,92.285,0
1539545140.041,20.508,281.250,-242.188,14.648,58.594,0
1539545140.045,15.625,212.891,-331.055,10.742,8.301,0
1539545140.049,18.066,181.641,-357.910,23.438,3.906,0
1539545140.053,18.555,179.688,-345.703,26.367,57.129,0
1539545140.057,22.949,-14.648,-521.484,61.035,45.898,0
1539545140.061,28.320,-52.734,-608.887,73.730,-16.113,0
1539545140.064,23.438,321.289,-288.574,40.527,0.000,0
1539545140.068,24.902,372.559,-182.129,35.156,66.406,0
1539545140.072,28.809,247.559,-276.367,36.621,62.988,0
1539545140.076,27.832,273.926,-281.250,33.203,8.301,0
1539545140.080,20.508,332.520,-216.309,36.621,1.465,0
1539545140.084,19.043,291.504,-199.219,40.039,47.852,0
1539545140.088,25.391,269.531,-187.012,31.250,69.824,0
1539545140.092,21.484,257.324,-195.312,31.250,19.043,0
1539545140.096,20.996,102.539,-343.750,34.668,-33.203,0
1539545140.100,18.066,18.555,-393.066,33.691,16.602,0
1539545140.104,16.113,1.465,-393.066,29.297,70.312,0
1539545140.107,19.531,216.309,-227.051,20.020,40.527,0
1539545140.111,22.461,262.695,-203.125,15.625,-30.273,0
1539545140.115,28.320,211.914,-236.328,27.344,5.371,0
1539545140.119,24.902,290.039,-142.578,31.250,64.453,0
1539545140.123,25.391,409.668,-16.113,24.902,72.754,0
1539545140.127,30.762,313.477,-98.633,36.133,20.996,0
1539545140.131,22.461,235.352,-162.109,36.133,17.578,0
1539545140.135,17.578,348.633,-25.391,23.438,81.055,0
1539545140.139,20.020,399.902,52.246,19.531,85.449,0
1539545140.143,22.461,224.121,-105.469,28.320,46.387,0
1539545140.146,25.879,-157.227,-488.770,46.875,-18.555,0
1539545140.150,19.043,-20.020,-393.066,43.457,12.207,0
1539545140.154,13.672,437.500,38.086,15.137,88.379,0
1539545140.158,24.414,237.305,-136.230,34.668,39.551,0
1539545140.162,31.738,50.293,-360.352,39.551,-34.668,0
1539545140.166,31.250,320.801,-125.977,37.109,17.090,0
1539545140.170,35.156,500.488,77.148,49.805,90.820,0
1539545140.174,36.133,330.566,-73.730,40.527,59.082,0
1539545140.178,31.250,172.363,-259.766,42.480,-2.930,0
1539545140.182,29.785,352.051,-104.492,32.715,31.738,0
1539545140.186,31.250,460.449,17.578,23.438,78.613,0
1539545140.189,43.457,172.852,-239.258,39.551,58.105,0
1539545140.193,44.922,-137.695,-574.707,45.898,-2.930,0
1539545140.197,23.438,176.270,-332.031,33.691,12.207,0
1539545140.201,24.902,453.613,-29.297,42.969,76.660,0
1539545140.205,35.156,322.754,-107.910,46.387,86.426,0
1539545140.209,32.227,212.891,-233.398,38.086,22.461,0
1539545140.213,28.809,176.758,-284.668,47.363,-19.043,0
1539545140.217,29.297,209.961,-226.562,59.082,37.109,0
1539545140.221,30.273,255.859,-175.293,48.828,53.711,0
1539545140.225,33.691,150.391,-291.016,32.227,10.742,0
1539545140.229,34.180,193.848,-266.602,35.156,-3.906,0
1539545140.232,30.762,281.738,-169.434,36.621,21.484,0
1539545140.236,31.738,164.062,-250.977,41.992,55.664,0
1539545140.240,30.273,45.410,-373.047,49.805,40.527,0
1539545140.244,33.691,126.465,-336.914,44.434,-12.695,0
1539545140.248,40.527,261.230,-194.336,52.734,7.324,0
1539545140.252,42.969,25.391,-369.629,56.152,49.805,0
1539545140.256,35.645,61.035,-358.398,45.410,61.523,0
1539545140.260,27.344,290.039,-179.688,45.410,13.184,0
1539545140.264,39.062,172.852,-273.438,54.199,-3.906,0
1539545140.268,39.551,226.074,-195.801,43.457,61.523,0
1539545140.271,30.273,242.676,-175.293,34.668,64.941,0
1539545140.275,36.621,154.785,-270.996,45.898,27.344,0
1539545140.279,45.898,104.980,-335.938,62.012,-12.695,0
1539545140.283,39.551,33.203,-395.996,74.219,5.371,0
1539545140.287,25.879,104.980,-319.824,65.430,67.383,0
1539545140.291,20.996,197.754,-252.930,40.039,47.363,0
1539545140.295,24.902,13.184,-447.754,35.156,-27.344,0
1539545140.299,28.809,-123.535,-586.426,61.035,-12.695,0
1539545140.303,20.508,250.000,-257.324,43.945,58.594,0
1539545140.307,24.414,375.977,-126.465,36.621,59.570,0
1539545140.311,24.902,189.453,-309.570,54.688,16.602,0
1539545140.314,23.926,194.824,-314.453,57.129,20.508,0
1539545140.318,27.832,324.219,-182.617,47.363,56.152,0
1539545140.322,29.297,334.961,-156.738,37.598,74.707,0
1539545140.326,41.016,123.535,-371.582,43.945,1.465,0
1539545140.330,39.551,14.648,-494.629,62.988,-13.672,0
1539545140.334,41.992,111.328,-390.625,83.008,54.688,0
1539545140.338,41.992,116.211,-379.883,69.336,65.430,0
1539545140.342,32.715,-154.297,-646.484,55.176,9.277,0
1539545140.346,28.809,-101.074,-645.508,48.828,-24.902,0
1539545140.350,21.973,293.457,-283.203,26.367,17.090,0
1539545140.354,23.926,272.461,-257.812,35.156,52.246,0
1539545140.357,32.715,164.062,-354.980,57.129,38.574,0
1539545140.361,26.855,197.754,-361.328,46.875,-10.254,0
1539545140.365,21.484,306.152,-247.070,38.086,20.508,0
1539545140.369,32.227,271.973,-235.352,61.523,69.824,0
1539545140.373,33.691,238.281,-257.324,63.477,72.266,0
1539545140.377,30.273,99.121,-410.156,48.340,5.371,0
1539545140.381,27.344,75.684,-450.195,30.273,1.953,0
1539545140.385,27.832,94.238,-405.762,44.922,50.781,0
1539545140.389,27.832,-63.477,-552.734,104.492,45.410,0
1539545140.393,27.832,176.758,-375.488,82.031,29.785,0
1539545140.396,29.785,312.988,-249.512,44.922,12.695,0
1539545140.400,21.484,227.539,-305.664,28.809,41.992,0
1539545140.404,20.020,249.023,-275.879,27.344,74.707,0
1539545140.408,16.602,305.176,-224.609,27.832,49.316,0
1539545140.412,19.043,200.195,-330.078,31.250,-11.719,0
1539545140.416,23.438,175.781,-337.402,37.598,19.043,0
1539545140.420,14.160,283.203,-206.543,36.621,78.125,0
1539545140.424,15.137,176.758,-282.227,40.527,64.453,0
1539545140.428,23.438,-18.555,-486.328,45.410,0.000,0
1539545140.432,21.973,-146.973,-609.863,46.875,-8.789,0
1539545140.436,18.066,-31.250,-500.488,49.805,54.688,0
1539545140.439,13.672,362.305,-138.184,39.062,91.797,0
1539545140.443,18.066,248.535,-229.492,43.457,18.066,0
