timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539630453.617,33.203,-934.082,3.906,39.062,20.020,1
1539630453.621,24.414,-728.516,-0.488,35.645,107.422,0
1539630453.625,19.531,-708.008,-10.254,31.738,102.539,0
1539630453.629,23.926,-916.016,-1.953,29.785,23.438,0
1539630453.633,19.043,-926.758,17.578,34.668,11.719,0
1539630453.637,17.578,-921.875,21.484,40.527,41.504,0
1539630453.641,20.020,-895.508,11.230,40.527,122.070,0
1539630453.645,22.461,-922.363,-11.230,35.156,105.957,0
1539630453.649,22.461,-919.922,-7.324,34.668,75.195,0
1539630453.653,21.484,-678.711,0.000,36.621,66.406,0
1539630453.657,25.879,-694.824,-9.766,40.527,52.734,0
1539630453.660,29.785,-800.293,-8.301,41.504,72.754,0
1539630453.664,27.832,-688.477,0.000,35.645,72.266,0
1539630453.668,26.367,-637.207,8.789,35.156,21.973,0
1539630453.672,28.320,-813.965,7.324,38.086,-40.039,0
1539630453.676,28.320,-849.609,24.902,36.621,-1.465,0
1539630453.680,22.461,-671.875,61.523,30.762,48.340,0
1539630453.684,20.020,-747.070,81.543,33.203,54.199,0
1539630453.688,23.438,-880.371,96.191,38.574,65.430,0
1539630453.692,27.344,-963.867,104.980,37.109,17.090,0
1539630453.696,25.879,-810.059,116.211,35.645,19.531,0
1539630453.699,23.926,-587.402,109.863,35.645,72.266,0
1539630453.703,23.926,-755.859,97.168,34.668,33.203,0
1539630453.707,22.461,-917.480,90.820,29.297,-49.316,0
1539630453.711,21.484,-791.504,93.750,31.250,-34.668,0
1539630453.715,18.555,-748.047,87.402,29.297,-6.836,0
1539630453.719,18.555,-806.152,83.008,32.227,39.062,0
1539630453.723,21.484,-819.336,88.867,37.598,43.457,0
1539630453.727,27.832,-732.422,89.844,30.273,52.734,0
1539630453.731,26.855,-849.121,79.590,30.273,82.031,0
1539630453.735,25.879,-998.047,68.359,34.668,4.395,0
1539630453.739,30.273,-919.434,77.637,28.320,-18.555,0
1539630453.742,24.902,-786.621,86.914,26.367,54.199,0
1539630453.746,28.320,-895.508,70.801,35.156,-0.488,0
1539630453.750,30.273,-944.824,86.914,34.180,-13.672,0
1539630453.754,23.926,-775.391,102.051,29.297,62.988,0
