timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539545099.154,36.133,-969.238,-567.871,34.668,112.305,0
1539545099.158,41.016,-969.238,-641.113,32.715,60.547,0
1539545099.162,43.457,-969.238,-814.453,37.598,-5.371,0
1539545099.166,47.852,-969.238,-899.414,40.527,0.000,0
1539545099.170,50.293,-969.238,-846.191,40.039,42.480,0
1539545099.174,46.387,-969.238,-866.211,38.086,53.711,0
1539545099.178,51.270,-969.238,-982.910,44.434,-27.344,0
1539545099.182,50.293,-969.238,-947.266,46.875,-48.340,0
1539545099.186,33.691,-969.238,-755.371,32.715,48.828,0
1539545099.189,34.180,-969.238,-631.348,26.855,105.957,0
1539545099.193,44.922,-969.238,-856.445,27.832,19.531,0
1539545099.197,39.062,-969.238,-909.180,32.227,-25.879,0
1539545099.201,33.203,-969.238,-665.527,28.320,72.266,0
1539545099.205,38.086,-969.238,-659.180,28.809,118.164,0
1539545099.209,40.039,-969.238,-834.961,39.062,58.105,0
1539545099.213,37.109,-969.238,-873.535,28.809,-2.930,0
1539545099.217,27.344,-969.238,-763.184,20.996,41.992,0
1539545099.221,23.926,-969.238,-812.012,29.297,118.164,0
1539545099.225,32.715,-969.238,-975.098,35.156,54.199,0
1539545099.229,29.785,-969.238,-958.008,31.250,-20.020,0
1539545099.232,21.973,-969.238,-831.055,30.762,17.578,0
1539545099.236,20.508,-969.238,-819.336,27.344,82.520,0
1539545099.240,20.020,-969.238,-860.840,26.855,95.703,0
1539545099.244,16.113,-969.238,-879.883,34.668,19.531,0
1539545099.248,14.160,-969.238,-871.582,45.410,2.441,0
1539545099.252,18.555,-969.238,-875.488,41.992,59.082,0
1539545099.256,22.461,-969.238,-832.520,21.484,103.516,0
1539545099.260,21.973,-969.238,-807.129,19.531,73.730,0
1539545099.264,13.184,-969.238,-941.895,28.809,7.812,0
1539545099.268,1.465,-969.238,-967.285,22.461,24.902,0
1539545099.272,-6.348,-969.238,-966.797,-1.953,75.684,0
1539545099.275,-17.578,-969.238,-969.238,-13.184,56.152,0
1539545099.279,-25.391,-969.238,-966.797,-18.555,-17.090,0
1539545099.283,-31.738,-969.238,-975.098,-32.227,-3.418,0
1539545099.287,-38.086,-969.238,-950.195,-29.785,69.824,0
1539545099.291,-59.082,-969.238,-929.688,-41.016,71.289,0
1539545099.295,-83.496,-969.238,-967.773,-67.383,-14.160,0
1539545099.299,-89.844,-969.238,-971.191,-72.266,-20.020,0
1539545099.303,-89.844,-969.238,-967.285,-69.824,75.684,0
1539545099.307,-102.051,-969.238,-969.727,-79.590,99.609,0
1539545099.311,-102.051,-969.238,-969.238,-83.008,-5.371,0
1539545099.314,-104.004,-969.238,-969.238,-110.840,-46.387,0
1539545099.318,-126.465,-969.238,-969.238,-139.160,17.090,0
1539545099.322,-129.395,-969.238,-969.238,-121.094,60.059,0
1539545099.326,-116.699,-969.238,-969.238,-96.191,20.020,0
1539545099.330,-104.004,-969.238,-969.238,-94.727,-54.199,0
1539545099.334,-104.492,-969.238,-969.238,-100.098,-8.789,0
1539545099.338,-90.332,-969.238,-969.238,-87.402,75.684,0
1539545099.342,-77.637,-969.238,-969.238,-85.449,36.621,0
1539545099.346,-67.383,-969.238,-965.820,-73.730,-32.715,0
1539545099.350,-48.340,-969.238,-979.492,-51.758,-26.367,0
