timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1539623627.391,22.461,35.156,40.039,18.066,76.172,0
1539623627.395,30.273,32.227,39.062,20.508,80.078,0
1539623627.398,27.832,37.109,38.086,25.879,94.238,0
1539623627.402,21.973,39.551,37.598,30.762,41.016,0
1539623627.406,16.113,38.574,36.133,28.320,21.484,0
1539623627.410,17.578,41.016,41.016,32.227,29.785,0
1539623627.414,30.273,42.480,37.109,30.273,25.879,0
1539623627.418,28.320,40.039,28.809,23.926,24.414,0
1539623627.422,24.902,41.016,33.203,21.484,-26.367,0
1539623627.426,25.879,38.574,39.551,15.137,-35.645,0
1539623627.430,26.367,36.621,41.504,12.207,68.359,0
1539623627.434,31.250,39.062,36.621,17.578,43.457,0
1539623627.438,27.344,34.668,35.156,26.367,-18.555,0
1539623627.441,21.973,33.691,37.598,26.367,57.617,0
1539623627.445,25.391,40.039,39.062,27.832,44.434,0
1539623627.449,26.855,43.457,35.156,28.809,11.719,0
1539623627.453,32.715,40.039,33.203,20.508,27.832,0
1539623627.457,33.691,40.527,39.062,21.973,71.289,0
1539623627.461,35.156,41.992,39.551,24.414,98.145,0
1539623627.465,35.645,37.109,35.645,28.809,38.086,0
1539623627.469,23.926,38.086,35.645,23.438,51.758,0
1539623627.473,19.531,39.551,41.992,18.555,57.129,0
1539623627.477,24.414,42.969,45.898,26.855,62.012,0
1539623627.480,22.949,41.016,42.969,29.785,72.266,0
1539623627.484,21.973,35.645,38.574,25.879,51.270,0
1539623627.488,41.504,39.551,42.969,31.738,86.426,0
1539623627.492,40.039,41.016,45.410,32.715,82.520,0
1539623627.496,28.320,36.133,40.039,20.508,34.180,0
1539623627.500,22.949,33.691,36.621,21.973,36.133,0
1539623627.504,34.180,40.039,40.039,40.039,71.777,0
1539623627.508,48.828,44.922,41.016,38.086,58.594,0
1539623627.512,22.949,43.945,30.273,10.254,5.859,0
1539623627.516,10.254,41.016,28.320,2.441,67.871,0
1539623627.520,31.250,39.062,41.992,16.602,76.172,0
1539623627.523,13.184,36.133,35.645,6.348,26.367,0
1539623627.527,-1.465,35.156,25.391,0.977,23.438,0
1539623627.531,12.207,36.133,32.715,10.254,35.645,0
1539623627.535,8.789,34.668,32.227,15.137,72.266,0
1539623627.539,10.254,36.621,30.762,17.090,68.848,0
1539623627.543,17.090,33.691,31.250,9.277,57.129,0
1539623627.547,21.484,34.668,33.203,4.395,41.504,0
